Num,WriteT,WriteV,ReadT,ReadV,
1350,33,62060,75394,27,
1352,32,64000,74747,27,
1354,33,62060,74831,27,
1356,48,42666,104567,19,
1358,33,62060,84620,24,
1360,33,62060,67248,30,
1362,33,62060,67058,30,
1364,33,62060,70764,28,
1366,48,42666,68712,29,
1368,33,62060,57375,35,
1370,34,60235,-830902,-2,
1372,61,33573,69728,29,
1374,49,41795,83411,24,
1376,33,62060,52733,38,
1378,33,62060,52662,38,
1380,33,62060,86229,23,
1382,33,62060,61519,33,
1384,50,40960,93616,21,
1386,34,60235,52223,39,
1388,34,60235,56738,36,
1390,34,60235,87034,23,
1392,34,60235,93579,21,
1394,34,60235,-841963,-2,
1396,34,60235,73847,27,
1398,34,60235,68647,29,
1400,33,62060,85514,23,
1402,50,40960,123121,16,
1404,34,60235,69155,29,
1406,34,60235,82306,24,
1408,34,60235,76312,26,
1410,34,60235,75194,27,
1412,49,41795,74762,27,
1414,34,60235,55891,36,
1416,34,60235,78756,26,
1418,34,60235,-804882,-2,
1420,52,39384,99591,20,
1422,34,60235,95114,21,
1424,34,60235,53207,38,
1426,35,58514,79969,25,
1428,35,58514,88228,23,
1430,52,39384,110642,18,
1432,35,58514,76805,26,
1434,35,58514,91036,22,
1436,34,60235,70769,28,
1438,51,40156,-764083,-2,
1440,35,58514,84526,24,
1442,35,58514,78604,26,
1444,35,58514,58146,35,
1446,36,56888,69868,29,
1448,52,39384,93410,21,
1450,35,58514,61745,33,
1452,35,58514,91228,22,
1454,35,58514,74550,27,
1456,34,60235,80879,25,
1458,52,39384,87249,23,
1460,36,56888,-825819,-2,
1462,35,58514,55856,36,
1464,35,58514,55938,36,
1466,55,37236,78889,25,
1468,36,56888,78949,25,
1470,35,58514,93117,21,
1472,35,58514,73542,27,
1474,68,30117,50389,40,
1476,52,39384,82477,24,
1478,35,58514,62344,32,
1480,35,58514,95757,21,
1482,35,58514,94606,21,
1484,53,38641,-795632,-2,
1486,36,56888,65810,31,
1488,65,31507,63585,32,
1490,35,58514,56872,36,
1492,36,56888,74758,27,
1494,53,38641,113242,18,
1496,36,56888,100028,20,
1498,35,58514,77753,26,
1500,37,55351,82772,24,
1502,36,56888,87672,23,
1504,53,38641,-787635,-2,
1506,36,56888,52307,39,
1508,36,56888,79120,25,
1510,36,56888,76366,26,
1512,55,37236,83675,24,
1514,36,56888,69398,29,
1516,37,55351,55222,37,
1518,36,56888,71360,28,
1520,36,56888,74582,27,
1522,54,37925,65475,31,
1524,37,55351,81338,25,
1526,37,55351,66990,30,
1528,36,56888,75241,27,
1530,80,25600,-802371,-2,
1532,36,56888,75068,27,
1534,37,55351,74975,27,
1536,37,55351,74734,27,
1538,37,55351,104612,19,
1540,56,36571,134040,15,
1542,37,55351,55658,36,
1544,38,53894,98093,20,
1546,37,55351,72224,28,
1548,37,55351,70696,28,
1550,54,37925,-819790,-2,
1552,37,55351,97561,20,
1554,37,55351,54012,37,
1556,38,53894,75009,27,
1558,56,36571,112779,18,
1560,37,55351,86409,23,
1562,55,37236,73254,27,
1564,38,53894,59276,34,
1566,37,55351,58499,35,
1568,55,37236,89915,22,
1570,37,55351,86256,23,
1572,37,55351,78228,26,
1574,38,53894,73833,27,
1576,56,36571,118647,17,
1578,56,36571,68403,29,
1580,38,53894,75183,27,
1582,38,53894,74470,27,
1584,38,53894,82932,24,
1586,56,36571,133281,15,
1588,37,55351,75473,27,
1590,38,53894,74333,27,
1592,39,52512,89993,22,
1594,56,36571,-783893,-2,
1596,39,52512,89353,22,
1598,38,53894,86349,23,
1600,39,52512,77183,26,
1602,38,53894,85299,24,
1604,57,35929,99447,20,
1606,38,53894,101633,20,
1608,38,53894,61126,33,
1610,38,53894,60446,33,
1612,39,52512,61498,33,
1614,57,35929,-782174,-2,
1616,39,52512,60678,33,
1618,39,52512,94640,21,
1620,39,52512,93710,21,
1622,255,8031,106675,19,
1624,40,51200,104342,19,
1626,39,52512,58746,34,
1628,57,35929,66874,30,
1630,39,52512,78385,26,
1632,57,35929,117226,17,
1634,39,52512,85895,23,
1636,38,53894,-798486,-2,
1638,39,52512,79369,25,
1640,58,35310,86903,23,
1642,39,52512,84482,24,
1644,39,52512,89793,22,
1646,39,52512,84825,24,
1648,40,51200,95071,21,
1650,58,35310,111642,18,
1652,40,51200,103574,19,
1654,40,51200,82156,24,
1656,40,51200,75703,27,
1658,58,35310,86629,23,
1660,39,52512,86000,23,
1662,40,51200,79215,25,
1664,40,51200,94501,21,
1666,40,51200,77999,26,
1668,59,34711,102242,20,
1670,40,51200,104547,19,
1672,40,51200,104264,19,
1674,40,51200,83815,24,
1676,59,34711,-789751,-2,
1678,40,51200,79503,25,
1680,40,51200,82022,24,
1682,69,29681,68839,29,
1684,41,49951,109639,18,
1686,60,34133,138923,14,
1688,40,51200,82871,24,
1690,40,51200,74537,27,
1692,40,51200,66391,30,
1694,60,34133,88491,23,
1696,59,34711,-811489,-2,
1698,40,51200,57701,35,
1700,41,49951,86112,23,
1702,41,49951,60178,34,
1704,60,34133,110084,18,
1706,40,51200,73044,28,
1708,41,49951,62836,32,
1710,60,34133,68971,29,
1712,41,49951,62653,32,
1714,61,33573,106997,19,
1716,41,49951,89769,22,
1718,41,49951,-823627,-2,
1720,41,49951,106867,19,
1722,61,33573,90061,22,
1724,61,33573,94383,21,
1726,41,49951,84929,24,
1728,42,48761,62506,32,
1730,41,49951,72988,28,
1732,62,33032,127700,16,
1734,42,48761,79112,25,
1736,41,49951,104427,19,
